Variable_24r_osr_ccaa,Contribución (%)_24r_osr_ccaa,Carga_PC1_24r_osr_ccaa,Max_Corr_24r_osr_ccaa,Dirección_24r_osr_ccaa,Lag_24r_osr_ccaa
Aragon,5.61,0.2381,0.9986,Directa,0
Andalucia,5.61,0.238,0.9983,Directa,0
Navarra,5.61,0.2381,0.9984,Directa,0
CastillaLaMancha,5.61,0.2379,0.9977,Directa,0
Extremadura,5.6,0.2375,0.996,Directa,0
PaisVasco,5.59,0.2371,0.9943,Directa,0
Cantabria,5.59,0.2373,0.9953,Directa,0
Canarias,5.59,0.2373,0.9951,Directa,0
Baleares,5.58,0.2367,0.9929,Directa,0
Asturias,5.58,0.2366,0.9924,Directa,0
Valencia,5.58,0.2369,0.9935,Directa,0
Cataluña,5.57,0.2362,0.9905,Directa,0
Murcia,5.57,0.2362,0.9905,Directa,0
Galicia,5.56,0.2358,0.9888,Directa,0
LaRioja,5.52,0.234,0.9813,Directa,0
CastillaLeon,5.52,0.2341,0.9819,Directa,0
Madrid,5.4,0.2291,0.966,Directa,-1
CeutaMelilla,5.31,0.2254,0.9611,Directa,-1
