Variable_25r_aapp_ccaa,Contribución (%)_25r_aapp_ccaa,Carga_PC1_25r_aapp_ccaa,Max_Corr_25r_aapp_ccaa,Dirección_25r_aapp_ccaa,Lag_25r_aapp_ccaa
Valencia,6.86,0.287,0.9852,Directa,0
Aragon,6.71,0.2809,0.9643,Directa,0
CastillaLaMancha,6.58,0.2753,0.9451,Directa,0
CastillaLeon,6.39,0.2675,0.9338,Directa,-1
LaRioja,6.19,0.2588,0.8886,Directa,0
Baleares,6.18,0.2586,0.8946,Directa,1
Extremadura,6.06,0.2537,0.8708,Directa,0
CeutaMelilla,6.01,0.2513,0.8987,Directa,1
Andalucia,5.73,0.24,0.8238,Directa,0
Murcia,5.72,0.2392,0.8213,Directa,0
Navarra,5.29,0.2215,0.8124,Directa,-3
Canarias,5.21,0.2179,0.7482,Directa,0
Asturias,5.14,0.2149,0.7709,Directa,-1
PaisVasco,5.08,0.2125,0.7753,Directa,-2
Madrid,4.81,0.2013,0.9032,Directa,-3
Cataluña,4.46,0.1866,0.6405,Directa,0
Galicia,4.46,0.1865,0.6562,Directa,-1
Cantabria,3.13,0.1311,0.4983,Directa,1
