Variable_32m_gt,Contribución (%)_32m_gt,Carga_PC1_32m_gt,Max_Corr_32m_gt,Dirección_32m_gt,Lag_32m_gt
PIB 8g,5.12,0.2347,0.9977,Directa,0
PIB g9,5.11,0.2343,0.996,Directa,0
PIB g1,5.11,0.2345,0.9968,Directa,0
PIB g3,5.1,0.2341,0.9951,Directa,0
PIB 6g,5.09,0.2336,0.9933,Directa,0
Renta g9,5.09,0.2333,0.9921,Directa,0
Renta g6,5.09,0.2334,0.9925,Directa,0
PIB g2,5.08,0.2332,0.9912,Directa,0
Renta g3,5.08,0.2331,0.9908,Directa,0
PIB g4,5.08,0.233,0.9907,Directa,0
PIB g7,5.07,0.2327,0.9894,Directa,0
PIB g5,5.07,0.2328,0.9896,Directa,0
Renta g7,5.07,0.2325,0.9886,Directa,0
Renta g8,5.06,0.2319,0.9859,Directa,0
Renta g5,5.04,0.2313,0.9835,Directa,0
Renta g4,5.02,0.2302,0.9789,Directa,0
Renta g2,4.91,0.2252,0.9576,Directa,0
Renta g1,4.87,0.2235,0.9504,Directa,0
Paro g1,3.03,0.139,0.7177,Directa,-3
Paro g5,1.21,0.0557,0.4562,Directa,-3
Paro g3,1.07,0.0493,0.4575,Directa,-3
Paro g6,0.93,0.0426,0.4455,Directa,-3
Paro g2,0.86,0.0393,0.4193,Directa,-3
Paro g4,0.67,0.0307,0.3719,Directa,-3
Paro g7,0.62,0.0286,0.3692,Directa,-3
Paro g8,0.4,0.0183,0.3424,Directa,-3
Paro g9,0.13,0.006,0.329,Directa,-3
