CCAA,IRT_CON_DIGITAL,IRT_SIN_DIGITAL,Efecto_Digital_Neto
Murcia,0.2431,0.2383,0.0047
Andalucia,0.2428,0.2409,0.0019
CastillaLaMancha,0.2775,0.2757,0.0018
Cataluña,0.0790,0.0780,0.0010
Valencia,0.2870,0.2862,0.0008
Navarra,0.0935,0.0933,0.0002
Canarias,-0.0297,-0.0294,-0.0003
Madrid,-0.0266,-0.0261,-0.0005
CeutaMelilla,-0.0333,-0.0323,-0.0010
Cantabria,0.0545,0.0555,-0.0011
Aragon,0.2802,0.2814,-0.0012
PaisVasco,0.0878,0.0891,-0.0013
LaRioja,0.2542,0.2555,-0.0014
Galicia,0.0762,0.0778,-0.0016
Extremadura,0.2517,0.2539,-0.0023
Asturias,0.0865,0.0899,-0.0034
Baleares,-0.2241,-0.2186,-0.0055
CastillaLeon,0.2571,0.2642,-0.0071
