Variablem_1_estr,Contribución (%)m_1_estr,Carga_PC1m_1_estr,Correlación máxima (lag ±3)m_1_estr,Direcciónm_1_estr,"Relación con crisis (años, -=anticipada, +=retrasada)m_1_estr"
I1_%Dep,9.378715427528377,0.33650203530980416,0.9704774253144722,Directa,2
I1_VAB_STerc_b20cvec,9.27588835320814,0.3328126686730738,0.9556965095432124,Directa,0
I1_PIB_pc,9.000101435192269,0.3229176185522689,0.9272821318696934,Directa,0
I1_Prod,8.986213098968653,0.32241931433966897,0.9258512139945683,Directa,0
I1_%CapTot,8.9762148788366,0.32206058489000083,0.945138284046066,Directa,-2
I1_IVU_Exp,8.709023911306813,0.31247395172206566,0.9436258478445272,Directa,-3
I1_IVU_Imp,8.449983502127994,0.3031797551351532,0.8946184420204203,Directa,-3
I1_VAB_SPrim_b20cvec,8.206471878499482,0.29444272098524465,0.869633991860375,Directa,-3
I1_%PobAct,7.686722798571561,-0.27579447170232185,-0.910220451524266,Indirecta,3
I1_VAB_SSec_b20cvec,5.236368684633672,0.1878774053469831,0.5395040436051577,Directa,0
I1_Deficit,4.770175286339889,-0.1711506980930885,-0.49240921646358216,Indirecta,-1
I1_%InvPriv_PIB,3.7819491773834786,-0.1356938064132269,-0.5129441659073987,Indirecta,3
I1_IPC_%Var,3.385517019660881,-0.12147008580172873,-0.6983194784813476,Indirecta,-3
I1_IPI,3.1309407775539846,-0.11233606054289133,-0.5427006784228817,Indirecta,3
I1_%Paro,1.0257137701882226,-0.036801923886136095,-0.12096067197257368,Indirecta,1
