Comunidad Autónoma,Segmento (Cluster),Riesgo Final (IRT),Vulnerabilidad (IRT norm),Inercia (Alfa),Impacto Macro (n1xn3),Impacto Terri (n2xn3),Impacto Digital (Gamma),B.Estr (n1),B.Coyu (n1),B.Fin (n1),B.Lab (n1),B.Inmo (n1),B.Agr (n2),B.Ind (n2),B.Cons (n2),B.Serv (n2),ADN (n3)
Valencia,C1_Base,0.2870,100.0000,0.2621,0.0160,0.0081,1.0027,0.3778,-0.2845,0.1168,-0.5046,0.4479,-1.0650,0.8190,0.3453,-0.0215,0.1044
Aragon,C1_Base,0.2802,98.6763,0.0788,0.1343,0.0683,0.9959,0.3778,-0.2845,0.1168,-0.5046,0.4479,-1.0650,0.8190,0.3453,-0.0215,0.8764
CastillaLaMancha,C1_Base,0.2775,98.1319,0.0828,0.1279,0.0650,1.0065,0.3778,-0.2845,0.1168,-0.5046,0.4479,-1.0650,0.8190,0.3453,-0.0215,0.8342
CastillaLeon,C1_Base,0.2571,94.1443,0.1103,0.1020,0.0519,0.9730,0.3778,-0.2845,0.1168,-0.5046,0.4479,-1.0650,0.8190,0.3453,-0.0215,0.6656
LaRioja,C1_Base,0.2542,93.5747,0.0139,0.1602,0.0814,0.9947,0.3778,-0.2845,0.1168,-0.5046,0.4479,-1.0650,0.8190,0.3453,-0.0215,1.0452
Extremadura,C1_Base,0.2517,93.0834,0.0393,0.1423,0.0723,0.9910,0.3778,-0.2845,0.1168,-0.5046,0.4479,-1.0650,0.8190,0.3453,-0.0215,0.9286
Murcia,C1_Base,0.2431,91.4055,0.0631,0.1162,0.0591,1.0199,0.3778,-0.2845,0.1168,-0.5046,0.4479,-1.0650,0.8190,0.3453,-0.0215,0.7580
Andalucia,C1_Base,0.2428,91.3429,0.3905,-0.0992,-0.0504,1.0077,0.3778,-0.2845,0.1168,-0.5046,0.4479,-1.0650,0.8190,0.3453,-0.0215,-0.6469
Navarra,C1_Escudo,0.0935,62.1335,0.0388,0.0737,-0.0192,1.0022,0.3575,-0.2769,0.1265,-0.4679,0.3918,-1.1535,0.9157,0.3141,-0.1105,0.5628
PaisVasco,C1_Escudo,0.0878,61.0333,0.1685,-0.1074,0.0280,0.9856,0.3575,-0.2769,0.1265,-0.4679,0.3918,-1.1535,0.9157,0.3141,-0.1105,-0.8202
Asturias,C1_Escudo,0.0865,60.7820,0.0535,0.0492,-0.0128,0.9627,0.3575,-0.2769,0.1265,-0.4679,0.3918,-1.1535,0.9157,0.3141,-0.1105,0.3759
Cataluña,C1_Escudo,0.0790,59.3057,0.5204,-0.5985,0.1561,1.0124,0.3575,-0.2769,0.1265,-0.4679,0.3918,-1.1535,0.9157,0.3141,-0.1105,-4.5701
Galicia,C1_Escudo,0.0762,58.7622,0.1205,-0.0577,0.0150,0.9794,0.3575,-0.2769,0.1265,-0.4679,0.3918,-1.1535,0.9157,0.3141,-0.1105,-0.4404
Cantabria,C1_Escudo,0.0545,54.5027,0.0215,0.0461,-0.0120,0.9804,0.3575,-0.2769,0.1265,-0.4679,0.3918,-1.1535,0.9157,0.3141,-0.1105,0.3519
Madrid,C0_Dinámico,-0.0266,38.6550,0.9343,3.2331,-4.1935,1.0174,0.3335,-0.2679,0.1379,-0.4247,0.3259,-1.2339,1.0034,0.2858,-0.1913,30.8636
Canarias,C0_Dinámico,-0.0297,38.0350,0.0967,0.4244,-0.5505,1.0111,0.3335,-0.2679,0.1379,-0.4247,0.3259,-1.2339,1.0034,0.2858,-0.1913,4.0512
CeutaMelilla,C0_Dinámico,-0.0333,37.3371,0.0027,0.1176,-0.1525,1.0321,0.3335,-0.2679,0.1379,-0.4247,0.3259,-1.2339,1.0034,0.2858,-0.1913,1.1223
Baleares,C2_Extremo,-0.2241,0.0000,0.0794,0.0940,-0.3921,1.0253,0.2944,-0.2531,0.1566,-0.3541,0.2180,-1.3301,1.1085,0.2519,-0.2880,1.5215
