cluster_4,CCAA,GT,ISC,Vanguardia,Gap_Institucional
C0_Dinámico,Madrid,GT3,0.2152,1,2
C0_Dinámico,Canarias,GT5,0.22760000000000002,0,0
C0_Dinámico,CeutaMelilla,GT1,0.23835,1,2
C1_Base,Murcia,GT3,0.2377,0,0
C1_Base,Andalucia,GT6,0.239,0,0
C1_Base,Extremadura,GT7,0.24559999999999998,0,0
C1_Base,LaRioja,GT8,0.2464,0,0
C1_Base,CastillaLeon,GT4,0.2508,0,1
C1_Base,CastillaLaMancha,GT4,0.2566,0,0
C1_Base,Aragon,GT5,0.2595,0,0
C1_Base,Valencia,GT2,0.26195,0,0
C1_Escudo,Cantabria,GT9,0.1842,0,1
C1_Escudo,Galicia,GT8,0.21115,0,1
C1_Escudo,Cataluña,GT9,0.21139999999999998,0,0
C1_Escudo,PaisVasco,GT1,0.2248,0,2
C1_Escudo,Asturias,GT7,0.22575,0,1
C1_Escudo,Navarra,GT6,0.2298,0,3
C2_Extremo,Baleares,GT2,0.24764999999999998,0,1
